,Raw_Tagged,Book,Clean,Bio_tagged,Span_Tagged,Coarse_Span_Tagged,Coarse_tag
66,"<<<kAka-akzi>T6-pAtana>T6-kaTAm>T6 pratiyAhi hi <Soka-ha>U
",agnipurana,"kAka akzi pAtana kaTAm pratiyAhi hi Soka ha
",B-C I-C I-C I-C O O B-C I-C,"0,2 T6|0,3 T6|0,4 T6|6,8 U","0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha|6,8 Tatpurusha","<<<kAka-akzi>Tatpurusha-pAtana>Tatpurusha-kaTAm>Tatpurusha pratiyAhi hi <Soka-ha>Tatpurusha
"
67,"hanUmAn saH <<daSagrIva-darSana>T6-upAyam>T6 Akarot
",agnipurana,"hanUmAn saH daSagrIva darSana upAyam Akarot
",O O B-C I-C I-C O,"2,4 T6|2,5 T6","2,4 Tatpurusha|2,5 Tatpurusha","hanUmAn saH <<daSagrIva-darSana>Tatpurusha-upAyam>Tatpurusha Akarot
"
68,"vanam baBaYja <tat-pAlAn>T6 hatvA <<danta-naKa>Ds-AdiBiH>Bs6
",agnipurana,"vanam baBaYja tat pAlAn hatvA danta naKa AdiBiH
",O O B-C I-C O B-C I-C I-C,"2,4 T6|5,7 Ds|5,8 Bs6","2,4 Tatpurusha|5,7 Dvandva|5,8 Bahuvrihi","vanam baBaYja <tat-pAlAn>Tatpurusha hatvA <<danta-naKa>Dvandva-AdiBiH>Bahuvrihi
"
69,"<<sItA-kaTA>T6-amftena>K7 eva siYca mAm <<kAma-vahni>K7-gam>U
",agnipurana,"sItA kaTA amftena eva siYca mAm kAma vahni gam
",B-C I-C I-C O O O B-C I-C I-C,"0,2 T6|0,3 K7|6,8 K7|6,9 U","0,2 Tatpurusha|0,3 Tatpurusha|6,8 Tatpurusha|6,9 Tatpurusha","<<sItA-kaTA>Tatpurusha-amftena>Tatpurusha eva siYca mAm <<kAma-vahni>Tatpurusha-gam>Tatpurusha
"
70,"rAvaRaH hantum udyuktaH <<saNgrAma-udData>T7-rAkzasaH>K1
",agnipurana,"rAvaRaH hantum udyuktaH saNgrAma udData rAkzasaH
",O O O B-C I-C I-C,"3,5 T7|3,6 K1","3,5 Tatpurusha|3,6 Tatpurusha","rAvaRaH hantum udyuktaH <<saNgrAma-udData>Tatpurusha-rAkzasaH>Tatpurusha
"
71,"rAkzasAH vAnarAn jaGnuH <<Sara-Sakti-gadA>Di-AdiBiH>Bs6
",agnipurana,"rAkzasAH vAnarAn jaGnuH Sara Sakti gadA AdiBiH
",O O O B-C I-C I-C I-C,"3,6 Di|3,7 Bs6","3,6 Dvandva|3,7 Bahuvrihi","rAkzasAH vAnarAn jaGnuH <<Sara-Sakti-gadA>Dvandva-AdiBiH>Bahuvrihi
"
72,"vAnarAH rAkzasAn jaGnuH <<naKa-danta-SilA>Di-AdiBiH>Bs6
",agnipurana,"vAnarAH rAkzasAn jaGnuH naKa danta SilA AdiBiH
",O O O B-C I-C I-C I-C,"3,6 Di|3,7 Bs6","3,6 Dvandva|3,7 Bahuvrihi","vAnarAH rAkzasAn jaGnuH <<naKa-danta-SilA>Dvandva-AdiBiH>Bahuvrihi
"
73,"<hasti-aSva-raTa-pAdAtam>Ds rAkzasAnAm balam hatam
",agnipurana,"hasti aSva raTa pAdAtam rAkzasAnAm balam hatam
",B-C I-C I-C I-C O O O,"0,4 Ds","0,4 Dvandva","<hasti-aSva-raTa-pAdAtam>Dvandva rAkzasAnAm balam hatam
"
74,"<<karRa-nAsA>Di-vihInaH>T3 asO BakzayAmAsa vAnarAn
",agnipurana,"karRa nAsA vihInaH asO BakzayAmAsa vAnarAn
",B-C I-C I-C O O O,"0,2 Di|0,3 T3","0,2 Dvandva|0,3 Tatpurusha","<<karRa-nAsA>Dvandva-vihInaH>Tatpurusha asO BakzayAmAsa vAnarAn
"
75,"viSalyayA <a-vraRO>Bsmn kftvA <<mAruti-AnIta>T3-parvate>K1
",agnipurana,"viSalyayA a vraRO kftvA mAruti AnIta parvate
",O B-C I-C O B-C I-C I-C,"1,3 Bsmn|4,6 T3|4,7 K1","1,3 Bahuvrihi|4,6 Tatpurusha|4,7 Tatpurusha","viSalyayA <a-vraRO>Bahuvrihi kftvA <<mAruti-AnIta>Tatpurusha-parvate>Tatpurusha
"
76,"putravat <<Darmma-kAma>Di-AdIn>Bs6 <duzwa-nigrahaRe>T6 rataH
",agnipurana,"putravat Darmma kAma AdIn duzwa nigrahaRe rataH
",O B-C I-C I-C B-C I-C O,"1,3 Di|1,4 Bs6|4,6 T6","1,3 Dvandva|1,4 Bahuvrihi|4,6 Tatpurusha","putravat <<Darmma-kAma>Dvandva-AdIn>Bahuvrihi <duzwa-nigrahaRe>Tatpurusha rataH
"
77,"<<sarva-Darmma>K1-paraH>Bs6 lokaH <sarva-sasyA>Bs7 ca medinI
",agnipurana,"sarva Darmma paraH lokaH sarva sasyA ca medinI
",B-C I-C I-C O B-C I-C O O,"0,2 K1|0,3 Bs6|4,6 Bs7","0,2 Tatpurusha|0,3 Bahuvrihi|4,6 Bahuvrihi","<<sarva-Darmma>Tatpurusha-paraH>Bahuvrihi lokaH <sarva-sasyA>Bahuvrihi ca medinI
"
78,"na <<na-kAla>Tn-maraRam>T7 ca AsIt rAme rAjyam praSAsati
",agnipurana,"na na kAla maraRam ca AsIt rAme rAjyam praSAsati
",O B-C I-C I-C O O O O O,"1,3 Tn|1,4 T7","1,3 Tatpurusha|1,4 Tatpurusha","na <<na-kAla>Tatpurusha-maraRam>Tatpurusha ca AsIt rAme rAjyam praSAsati
"
79,"<brahman-<Atman-jaH>U>T6 pulastyaH aBUt viSravAH tasya nEkazI
",agnipurana,"brahman Atman jaH pulastyaH aBUt viSravAH tasya nEkazI
",B-C I-C I-C O O O O O,"0,3 T6|1,3 U","0,3 Tatpurusha|1,3 Tatpurusha","<brahman-<Atman-jaH>Tatpurusha>Tatpurusha pulastyaH aBUt viSravAH tasya nEkazI
"
80,"<<<deva-prArTita>T3-rAma>K1-uktaH>T3 SatruGnaH <lavaRa-arddanaH>U
",agnipurana,"deva prArTita rAma uktaH SatruGnaH lavaRa arddanaH
",B-C I-C I-C I-C O B-C I-C,"0,2 T3|0,3 K1|0,4 T3|5,7 U","0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha|5,7 Tatpurusha","<<<deva-prArTita>Tatpurusha-rAma>Tatpurusha-uktaH>Tatpurusha SatruGnaH <lavaRa-arddanaH>Tatpurusha
"
81,"SElUzam <duzwa-ganDarvam>K1 <<sinDu-tIra>T6-nivAsinam>U
",agnipurana,"SElUzam duzwa ganDarvam sinDu tIra nivAsinam
",O B-C I-C B-C I-C I-C,"1,3 K1|3,5 T6|3,6 U","1,3 Tatpurusha|3,5 Tatpurusha|3,6 Tatpurusha","SElUzam <duzwa-ganDarvam>Tatpurusha <<sinDu-tIra>Tatpurusha-nivAsinam>Tatpurusha
"
82,"<<daSan-varza>Km-sahasrARi>T6 <<daSan-varza>Km-SatAni>T6 ca
",agnipurana,"daSan varza sahasrARi daSan varza SatAni ca
",B-C I-C I-C B-C I-C I-C O,"0,2 Km|0,3 T6|3,5 Km|3,6 T6","0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha|3,6 Tatpurusha","<<daSan-varza>Tatpurusha-sahasrARi>Tatpurusha <<daSan-varza>Tatpurusha-SatAni>Tatpurusha ca
"
83,"<sa-pOraH>BvS <sa-<anu-jaH>U>BvS <sItA-putraH>T6 <janapada-anvitaH>T3
",agnipurana,"sa pOraH sa anu jaH sItA putraH janapada anvitaH
",B-C I-C B-C I-C I-C B-C I-C B-C I-C,"0,2 BvS|2,5 BvS|3,5 U|5,7 T6|7,9 T3","0,2 Bahuvrihi|2,5 Bahuvrihi|3,5 Tatpurusha|5,7 Tatpurusha|7,9 Tatpurusha","<sa-pOraH>Bahuvrihi <sa-<anu-jaH>Tatpurusha>Bahuvrihi <sItA-putraH>Tatpurusha <janapada-anvitaH>Tatpurusha
"
84,"<<SrIhari-vaMSa>T6-varRanam>T6
",agnipurana,"SrIhari vaMSa varRanam
",B-C I-C I-C,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<SrIhari-vaMSa>Tatpurusha-varRanam>Tatpurusha
"
85,"<hari-vaMSam>T6 pravakzyAmi <<vizRu-nABi>T6-<ambu-jAt>U>K6 ajaH
",agnipurana,"hari vaMSam pravakzyAmi vizRu nABi ambu jAt ajaH
",B-C I-C O B-C I-C I-C I-C O,"0,2 T6|3,5 T6|3,7 K6|5,7 U","0,2 Tatpurusha|3,5 Tatpurusha|3,7 Tatpurusha|5,7 Tatpurusha","<hari-vaMSam>Tatpurusha pravakzyAmi <<vizRu-nABi>Tatpurusha-<ambu-jAt>Tatpurusha>Tatpurusha ajaH
"
86,"BuvaH <<BAra-avatAra>T6-arTam>T4 devakyAm vasudevataH
",agnipurana,"BuvaH BAra avatAra arTam devakyAm vasudevataH
",O B-C I-C I-C O O,"1,3 T6|1,4 T4","1,3 Tatpurusha|1,4 Tatpurusha","BuvaH <<BAra-avatAra>Tatpurusha-arTam>Tatpurusha devakyAm vasudevataH
"
87,"samarpitAH tu devakyA <<vivAha-samaya>T6-IritAH>T7
",agnipurana,"samarpitAH tu devakyA vivAha samaya IritAH
",O O O B-C I-C I-C,"3,5 T6|3,6 T7","3,5 Tatpurusha|3,6 Tatpurusha","samarpitAH tu devakyA <<vivAha-samaya>Tatpurusha-IritAH>Tatpurusha
"
88,"<<sarva-sva>T6-BUtaH>T2 devAnAm <<BU-BAra>T6-haraRAya>T6 saH
",agnipurana,"sarva sva BUtaH devAnAm BU BAra haraRAya saH
",B-C I-C I-C O B-C I-C I-C O,"0,2 T6|0,3 T2|4,6 T6|4,7 T6","0,2 Tatpurusha|0,3 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha","<<sarva-sva>Tatpurusha-BUtaH>Tatpurusha devAnAm <<BU-BAra>Tatpurusha-haraRAya>Tatpurusha saH
"
89,"BadrA kzemyA <kzema-karI>U <<na-eka>Tn-bAhuH>Bs6 namAmi tAm
",agnipurana,"BadrA kzemyA kzema karI na eka bAhuH namAmi tAm
",O O B-C I-C B-C I-C I-C O O,"2,4 U|4,6 Tn|4,7 Bs6","2,4 Tatpurusha|4,6 Tatpurusha|4,7 Bahuvrihi","BadrA kzemyA <kzema-karI>Tatpurusha <<na-eka>Tatpurusha-bAhuH>Bahuvrihi namAmi tAm
"
90,"<<yaSodA-pati>T6-nandAya>K1 vasudevena ca arpitO
",agnipurana,"yaSodA pati nandAya vasudevena ca arpitO
",B-C I-C I-C O O O,"0,2 T6|0,3 K1","0,2 Tatpurusha|0,3 Tatpurusha","<<yaSodA-pati>Tatpurusha-nandAya>Tatpurusha vasudevena ca arpitO
"
91,"<<yamala-arjuna>Di-maDye>T6 agAt BagnO ca <yamala-arjunO>Di
",agnipurana,"yamala arjuna maDye agAt BagnO ca yamala arjunO
",B-C I-C I-C O O O B-C I-C,"0,2 Di|0,3 T6|6,8 Di","0,2 Dvandva|0,3 Tatpurusha|6,8 Dvandva","<<yamala-arjuna>Dvandva-maDye>Tatpurusha agAt BagnO ca <yamala-arjunO>Dvandva
"
92,"<<vfndA-vana>T6-gataH>T2 kfzRaH kAliyam <yamunA-hradAt>T6
",agnipurana,"vfndA vana gataH kfzRaH kAliyam yamunA hradAt
",B-C I-C I-C O O B-C I-C,"0,2 T6|0,3 T2|5,7 T6","0,2 Tatpurusha|0,3 Tatpurusha|5,7 Tatpurusha","<<vfndA-vana>Tatpurusha-gataH>Tatpurusha kfzRaH kAliyam <yamunA-hradAt>Tatpurusha
"
93,"<raTa-sTaH>T6 maTurAm ca agAt <<<kaMsa-ukta>T3-akrUra>K1-saMstutaH>T3
",agnipurana,"raTa sTaH maTurAm ca agAt kaMsa ukta akrUra saMstutaH
",B-C I-C O O O B-C I-C I-C I-C,"0,2 T6|5,7 T3|5,8 K1|5,9 T3","0,2 Tatpurusha|5,7 Tatpurusha|5,8 Tatpurusha|5,9 Tatpurusha","<raTa-sTaH>Tatpurusha maTurAm ca agAt <<<kaMsa-ukta>Tatpurusha-akrUra>Tatpurusha-saMstutaH>Tatpurusha
"
94,"<deva-ganDarva-yakzARAm>Di tAH uvAha <jana-arddanaH>U
",agnipurana,"deva ganDarva yakzARAm tAH uvAha jana arddanaH
",B-C I-C I-C O O B-C I-C,"0,3 Di|5,7 U","0,3 Dvandva|5,7 Tatpurusha","<deva-ganDarva-yakzARAm>Dvandva tAH uvAha <jana-arddanaH>Tatpurusha
"
95,"tapasA <Siva-putraH>T6 aBUt <<mayUra-Dvaja>T6-pAtataH>T6
",agnipurana,"tapasA Siva putraH aBUt mayUra Dvaja pAtataH
",O B-C I-C O B-C I-C I-C,"1,3 T6|4,6 T6|4,7 T6","1,3 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha","tapasA <Siva-putraH>Tatpurusha aBUt <<mayUra-Dvaja>Tatpurusha-pAtataH>Tatpurusha
"
96,"<<vESAKa-mAsa>K1-dvAdaSyAm>T6 puMsaH BarttA Bavizyati
",agnipurana,"vESAKa mAsa dvAdaSyAm puMsaH BarttA Bavizyati
",B-C I-C I-C O O O,"0,2 K1|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<vESAKa-mAsa>Tatpurusha-dvAdaSyAm>Tatpurusha puMsaH BarttA Bavizyati
"
97,"<<nandi-vinAyaka-skanda>Di-muKAH>Bs6 <tArkzya-AdiBiH>Bs6 jitAH
",agnipurana,"nandi vinAyaka skanda muKAH tArkzya AdiBiH jitAH
",B-C I-C I-C I-C B-C I-C O,"0,3 Di|0,4 Bs6|4,6 Bs6","0,3 Dvandva|0,4 Bahuvrihi|4,6 Bahuvrihi","<<nandi-vinAyaka-skanda>Dvandva-muKAH>Bahuvrihi <tArkzya-AdiBiH>Bahuvrihi jitAH
"
98,"<Siva-AdyEH>Bs6 pUjitaH vizRuH saH anirudDaH <<uzA-Adi>Bs6-yuk>U
",agnipurana,"Siva AdyEH pUjitaH vizRuH saH anirudDaH uzA Adi yuk
",B-C I-C O O O O B-C I-C I-C,"0,2 Bs6|6,8 Bs6|6,9 U","0,2 Bahuvrihi|6,8 Bahuvrihi|6,9 Tatpurusha","<Siva-AdyEH>Bahuvrihi pUjitaH vizRuH saH anirudDaH <<uzA-Adi>Bahuvrihi-yuk>Tatpurusha
"
99,"dvArakAm tu gataH reme <<ugrasena-Adi>Bs6-yAdavEH>K1
",agnipurana,"dvArakAm tu gataH reme ugrasena Adi yAdavEH
",O O O O B-C I-C I-C,"4,6 Bs6|4,7 K1","4,6 Bahuvrihi|4,7 Tatpurusha","dvArakAm tu gataH reme <<ugrasena-Adi>Bahuvrihi-yAdavEH>Tatpurusha
"
100,"<anirudDa-<Atman-jaH>U>T6 vajraH mArkaRqeyAt tu sarvavit
",agnipurana,"anirudDa Atman jaH vajraH mArkaRqeyAt tu sarvavit
",B-C I-C I-C O O O O,"0,3 T6|1,3 U","0,3 Tatpurusha|1,3 Tatpurusha","<anirudDa-<Atman-jaH>Tatpurusha>Tatpurusha vajraH mArkaRqeyAt tu sarvavit
"
101,"dvividasya kapeH BettA <<kOrava-unmAda>T6-nASanaH>U
",agnipurana,"dvividasya kapeH BettA kOrava unmAda nASanaH
",O O O B-C I-C I-C,"3,5 T6|3,6 U","3,5 Tatpurusha|3,6 Tatpurusha","dvividasya kapeH BettA <<kOrava-unmAda>Tatpurusha-nASanaH>Tatpurusha
"
102,"hariH reme <<na-eka>Tn-mUrttiH>Bs6 <rukmiRi-AdiBiH>Bs6 ISvaraH
",agnipurana,"hariH reme na eka mUrttiH rukmiRi AdiBiH ISvaraH
",O O B-C I-C I-C B-C I-C O,"2,4 Tn|2,5 Bs6|5,7 Bs6","2,4 Tatpurusha|2,5 Bahuvrihi|5,7 Bahuvrihi","hariH reme <<na-eka>Tatpurusha-mUrttiH>Bahuvrihi <rukmiRi-AdiBiH>Bahuvrihi ISvaraH
"
103,"ityAdi <mahat-purARe>K1 Agneye <<hari-vaMSa>T6-varRanam>T6 nAma dvAdaSaH aDyAyaH
",agnipurana,"ityAdi mahat purARe Agneye hari vaMSa varRanam nAma dvAdaSaH aDyAyaH
",O B-C I-C O B-C I-C I-C O O O,"1,3 K1|4,6 T6|4,7 T6","1,3 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha","ityAdi <mahat-purARe>Tatpurusha Agneye <<hari-vaMSa>Tatpurusha-varRanam>Tatpurusha nAma dvAdaSaH aDyAyaH
"
104,"<<<<kuru-pARqava>Di-utpatti>T6-Adi>Bs6-kaTanam>T6
",agnipurana,"kuru pARqava utpatti Adi kaTanam
",B-C I-C I-C I-C I-C,"0,2 Di|0,3 T6|0,4 Bs6|0,5 T6","0,2 Dvandva|0,3 Tatpurusha|0,4 Bahuvrihi|0,5 Tatpurusha","<<<<kuru-pARqava>Dvandva-utpatti>Tatpurusha-Adi>Bahuvrihi-kaTanam>Tatpurusha
"
105,"BAratam sampravakzyAmi <<kfzRa-mAhAtmya>T6-lakzaRam>T6
",agnipurana,"BAratam sampravakzyAmi kfzRa mAhAtmya lakzaRam
",O O B-C I-C I-C,"2,4 T6|2,5 T6","2,4 Tatpurusha|2,5 Tatpurusha","BAratam sampravakzyAmi <<kfzRa-mAhAtmya>Tatpurusha-lakzaRam>Tatpurusha
"
106,"<<<vizRu-nABi>T6-abja>K6-jaH>U brahmA <brahman-putraH>T6 atriH atritaH
",agnipurana,"vizRu nABi abja jaH brahmA brahman putraH atriH atritaH
",B-C I-C I-C I-C O B-C I-C O O,"0,2 T6|0,3 K6|0,4 U|5,7 T6","0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha|5,7 Tatpurusha","<<<vizRu-nABi>Tatpurusha-abja>Tatpurusha-jaH>Tatpurusha brahmA <brahman-putraH>Tatpurusha atriH atritaH
"
107,"<<SataSfNga-ASrama>T6-pade>T6 <BAryA-yogAt>T6 yataH mftiH
",agnipurana,"SataSfNga ASrama pade BAryA yogAt yataH mftiH
",B-C I-C I-C B-C I-C O O,"0,2 T6|0,3 T6|3,5 T6","0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha","<<SataSfNga-ASrama>Tatpurusha-pade>Tatpurusha <BAryA-yogAt>Tatpurusha yataH mftiH
"
108,"<<brahma-astra>K1-AdIn>Bs6 taTA droRAt sarve <Sastra-viSAradAH>T7
",agnipurana,"brahma astra AdIn taTA droRAt sarve Sastra viSAradAH
",B-C I-C I-C O O O B-C I-C,"0,2 K1|0,3 Bs6|6,8 T7","0,2 Tatpurusha|0,3 Bahuvrihi|6,8 Tatpurusha","<<brahma-astra>Tatpurusha-AdIn>Bahuvrihi taTA droRAt sarve <Sastra-viSAradAH>Tatpurusha
"
109,"kurvataH <<go-graha>T6-AdIn>Bs6 ca tEH jYAtAH pARqavAH aTa
",agnipurana,"kurvataH go graha AdIn ca tEH jYAtAH pARqavAH aTa
",O B-C I-C I-C O O O O O,"1,3 T6|1,4 Bs6","1,3 Tatpurusha|1,4 Bahuvrihi","kurvataH <<go-graha>Tatpurusha-AdIn>Bahuvrihi ca tEH jYAtAH pARqavAH aTa
"
110,"<<saptan-akzOhiRI>Km-ISaH>T6 AsIt DarmmarAjaH raRAya saH
",agnipurana,"saptan akzOhiRI ISaH AsIt DarmmarAjaH raRAya saH
",B-C I-C I-C O O O O,"0,2 Km|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<saptan-akzOhiRI>Tatpurusha-ISaH>Tatpurusha AsIt DarmmarAjaH raRAya saH
"
111,"<<ekAdaSan-akzOhiRI>Km-ISam>T6 nfpam duryoDanam tadA
",agnipurana,"ekAdaSan akzOhiRI ISam nfpam duryoDanam tadA
",B-C I-C I-C O O O,"0,2 Km|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<ekAdaSan-akzOhiRI>Tatpurusha-ISam>Tatpurusha nfpam duryoDanam tadA
"
112,"<BU-<sUcI-agram>T6>T6 na dAsyAmi yotsye <saNgrahaRa-udyataH>T4
",agnipurana,"BU sUcI agram na dAsyAmi yotsye saNgrahaRa udyataH
",B-C I-C I-C O O O B-C I-C,"0,3 T6|1,3 T6|6,8 T4","0,3 Tatpurusha|1,3 Tatpurusha|6,8 Tatpurusha","<BU-<sUcI-agram>Tatpurusha>Tatpurusha na dAsyAmi yotsye <saNgrahaRa-udyataH>Tatpurusha
"
113,"ityAdi <mahat-purARe>K1 Agneye <<Adiparvan-Adi>Bs6-varRanam>T6 nAma trayodaSaH aDyAyaH
",agnipurana,"ityAdi mahat purARe Agneye Adiparvan Adi varRanam nAma trayodaSaH aDyAyaH
",O B-C I-C O B-C I-C I-C O O O,"1,3 K1|4,6 Bs6|4,7 T6","1,3 Tatpurusha|4,6 Bahuvrihi|4,7 Tatpurusha","ityAdi <mahat-purARe>Tatpurusha Agneye <<Adiparvan-Adi>Bahuvrihi-varRanam>Tatpurusha nAma trayodaSaH aDyAyaH
"
114,"<<<kuru-pARqava>Di-saNgrAma>T6-varRanam>T6
",agnipurana,"kuru pARqava saNgrAma varRanam
",B-C I-C I-C I-C,"0,2 Di|0,3 T6|0,4 T6","0,2 Dvandva|0,3 Tatpurusha|0,4 Tatpurusha","<<<kuru-pARqava>Dvandva-saNgrAma>Tatpurusha-varRanam>Tatpurusha
"
115,"<<BIzma-droRa>Di-AdikAn>Bs6 dfzwvA na ayuDyata gurUn iti
",agnipurana,"BIzma droRa AdikAn dfzwvA na ayuDyata gurUn iti
",B-C I-C I-C O O O O O,"0,2 Di|0,3 Bs6","0,2 Dvandva|0,3 Bahuvrihi","<<BIzma-droRa>Dvandva-AdikAn>Bahuvrihi dfzwvA na ayuDyata gurUn iti
"
116,"<<deva-asura>Di-samam>T3 yudDam <<kuru-pARqava>Di-senayoH>T6
",agnipurana,"deva asura samam yudDam kuru pARqava senayoH
",B-C I-C I-C O B-C I-C I-C,"0,2 Di|0,3 T3|4,6 Di|4,7 T6","0,2 Dvandva|0,3 Tatpurusha|4,6 Dvandva|4,7 Tatpurusha","<<deva-asura>Dvandva-samam>Tatpurusha yudDam <<kuru-pARqava>Dvandva-senayoH>Tatpurusha
"
117,"baBUva <<svar-sTa>U-devAnAm>K1 paSyatAm <prIti-vardDanam>T6
",agnipurana,"baBUva svar sTa devAnAm paSyatAm prIti vardDanam
",O B-C I-C I-C O B-C I-C,"1,3 U|1,4 K1|5,7 T6","1,3 Tatpurusha|1,4 Tatpurusha|5,7 Tatpurusha","baBUva <<svar-sTa>Tatpurusha-devAnAm>Tatpurusha paSyatAm <prIti-vardDanam>Tatpurusha
"
118,"<hasti-aSva-raTa-pAdAtam>Ds <<anyonya-astra>T6-nipAtitam>T6
",agnipurana,"hasti aSva raTa pAdAtam anyonya astra nipAtitam
",B-C I-C I-C I-C B-C I-C I-C,"0,4 Ds|4,6 T6|4,7 T6","0,4 Dvandva|4,6 Tatpurusha|4,7 Tatpurusha","<hasti-aSva-raTa-pAdAtam>Dvandva <<anyonya-astra>Tatpurusha-nipAtitam>Tatpurusha
"
119,"<vasu-uktaH>T3 <vasu-lokAya>T6 <<Sara-SayyA>T6-gataH>T2 sTitaH
",agnipurana,"vasu uktaH vasu lokAya Sara SayyA gataH sTitaH
",B-C I-C B-C I-C B-C I-C I-C O,"0,2 T3|2,4 T6|4,6 T6|4,7 T2","0,2 Tatpurusha|2,4 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha","<vasu-uktaH>Tatpurusha <vasu-lokAya>Tatpurusha <<Sara-SayyA>Tatpurusha-gataH>Tatpurusha sTitaH
"
120,"tayoH yudDam baBUva ugram <<yama-rAzwra>T6-vivarDanam>T6
",agnipurana,"tayoH yudDam baBUva ugram yama rAzwra vivarDanam
",O O O O B-C I-C I-C,"4,6 T6|4,7 T6","4,6 Tatpurusha|4,7 Tatpurusha","tayoH yudDam baBUva ugram <<yama-rAzwra>Tatpurusha-vivarDanam>Tatpurusha
"
121,"<<virAwa-drupada>Di-AdyAH>Bs6 ca nimagnAH <droRa-sAgare>K6
",agnipurana,"virAwa drupada AdyAH ca nimagnAH droRa sAgare
",B-C I-C I-C O O B-C I-C,"0,2 Di|0,3 Bs6|5,7 K6","0,2 Dvandva|0,3 Bahuvrihi|5,7 Tatpurusha","<<virAwa-drupada>Dvandva-AdyAH>Bahuvrihi ca nimagnAH <droRa-sAgare>Tatpurusha
"
122,"dOryoDanI <mahat-senA>K1 <hasti-aSva-raTa-pattinI>Bb
",agnipurana,"dOryoDanI mahat senA hasti aSva raTa pattinI
",O B-C I-C B-C I-C I-C I-C,"1,3 K1|3,7 Bb","1,3 Tatpurusha|3,7 Bahuvrihi","dOryoDanI <mahat-senA>Tatpurusha <hasti-aSva-raTa-pattinI>Bahuvrihi
"
123,"<<Dfzwadyumna-Sara>T6-AkrAntaH>T3 patitaH saH <mahI-tale>T6
",agnipurana,"Dfzwadyumna Sara AkrAntaH patitaH saH mahI tale
",B-C I-C I-C O O B-C I-C,"0,2 T6|0,3 T3|5,7 T6","0,2 Tatpurusha|0,3 Tatpurusha|5,7 Tatpurusha","<<Dfzwadyumna-Sara>Tatpurusha-AkrAntaH>Tatpurusha patitaH saH <mahI-tale>Tatpurusha
"
124,"<Sastra-Sastri>Bsp <mahat-rOdram>K1 <<<deva-asura>Di-raRa>T6-upamam>Bs6
",agnipurana,"Sastra Sastri mahat rOdram deva asura raRa upamam
",B-C I-C B-C I-C B-C I-C I-C I-C,"0,2 Bsp|2,4 K1|4,6 Di|4,7 T6|4,8 Bs6","0,2 Bahuvrihi|2,4 Tatpurusha|4,6 Dvandva|4,7 Tatpurusha|4,8 Bahuvrihi","<Sastra-Sastri>Bahuvrihi <mahat-rOdram>Tatpurusha <<<deva-asura>Dvandva-raRa>Tatpurusha-upamam>Bahuvrihi
"
125,"<<karRa-arjuna>Di-AKye>Bs6 saNgrAme karRaH arIn avaDIt SarEH
",agnipurana,"karRa arjuna AKye saNgrAme karRaH arIn avaDIt SarEH
",B-C I-C I-C O O O O O,"0,2 Di|0,3 Bs6","0,2 Dvandva|0,3 Bahuvrihi","<<karRa-arjuna>Dvandva-AKye>Bahuvrihi saNgrAme karRaH arIn avaDIt SarEH
"
126,"<<aSvatTAman-astra>T6-nirddagDam>T3 jIvayAmAsa vE hariH
",agnipurana,"aSvatTAman astra nirddagDam jIvayAmAsa vE hariH
",B-C I-C I-C O O O,"0,2 T6|0,3 T3","0,2 Tatpurusha|0,3 Tatpurusha","<<aSvatTAman-astra>Tatpurusha-nirddagDam>Tatpurusha jIvayAmAsa vE hariH
"
127,"saMskftya prahatAn vIrAn <datta-<<udaka-Dana>Di-AdikaH>Bs6>Bs3
",agnipurana,"saMskftya prahatAn vIrAn datta udaka Dana AdikaH
",O O O B-C I-C I-C I-C,"3,7 Bs3|4,6 Di|4,7 Bs6","3,7 Bahuvrihi|4,6 Dvandva|4,7 Bahuvrihi","saMskftya prahatAn vIrAn <datta-<<udaka-Dana>Dvandva-AdikaH>Bahuvrihi>Bahuvrihi
"
128,"<<pARqava-carita>T6-varRanam>T6
",agnipurana,"pARqava carita varRanam
",B-C I-C I-C,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<pARqava-carita>Tatpurusha-varRanam>Tatpurusha
"
129,"DarmmAya <<na-Darmma>Tn-nASAya>T6 <nimittai-kftya>Tg pARqavAn
",agnipurana,"DarmmAya na Darmma nASAya nimittai kftya pARqavAn
",O B-C I-C I-C B-C I-C O,"1,3 Tn|1,4 T6|4,6 Tg","1,3 Tatpurusha|1,4 Tatpurusha|4,6 Tatpurusha","DarmmAya <<na-Darmma>Tatpurusha-nASAya>Tatpurusha <nimittai-kftya>Tatpurusha pARqavAn
"
